iter	Passed	Remaining
658	6630	3430
659	6632	3416
660	6635	3402
661	6644	3392
662	6648	3379
663	6653	3366
664	6662	3356
665	6665	3342
666	6668	3329
667	6670	3315
668	6671	3300
669	6673	3287
670	6675	3273
671	6677	3259
672	6679	3245
673	6684	3233
674	6687	3219
675	6689	3206
676	6692	3192
677	6695	3179
678	6697	3166
679	6705	3155
680	6709	3142
681	6713	3130
682	6720	3119
683	6723	3106
684	6726	3093
685	6728	3079
686	6731	3066
687	6733	3053
688	6743	3043
689	6747	3031
690	6751	3019
691	6760	3008
692	6763	2996
693	6767	2984
694	6771	2971
695	6780	2961
696	6782	2948
697	6785	2935
698	6787	2923
699	6790	2910
700	6798	2899
701	6802	2887
702	6808	2876
703	6815	2865
704	6819	2853
705	6823	2841
706	6828	2829
707	6838	2820
708	6843	2808
709	6846	2796
710	6855	2786
711	6859	2774
712	6863	2762
713	6872	2752
714	6874	2740
715	6877	2727
716	6879	2715
717	6882	2703
718	6884	2690
719	6892	2680
720	6896	2668
721	6899	2656
722	6908	2646
723	6911	2634
724	6913	2622
725	6916	2610
726	6918	2598
727	6920	2585
728	6926	2574
729	6928	2562
730	6930	2550
731	6932	2538
732	6936	2526
733	6946	2517
734	6950	2505
735	6954	2494
736	6958	2483
737	6963	2472
738	6965	2460
739	6968	2448
740	6970	2436
741	6977	2426
742	6982	2415
743	6986	2403
744	6989	2392
745	6998	2382
746	7000	2370
747	7003	2359
748	7006	2348
749	7009	2336
750	7019	2327
751	7024	2316
752	7028	2305
753	7039	2296
754	7043	2285
755	7047	2274
756	7058	2265
757	7060	2254
758	7063	2242
759	7065	2231
760	7067	2219
761	7075	2210
762	7080	2199
763	7083	2188
764	7091	2178
765	7094	2167
766	7096	2155
767	7099	2144
768	7101	2133
769	7103	2121
770	7112	2112
771	7117	2101
772	7120	2091
773	7129	2081
774	7133	2070
775	7137	2060
776	7140	2049
777	7149	2040
778	7151	2028
779	7154	2017
780	7156	2006
781	7159	1995
782	7166	1986
783	7170	1975
784	7174	1964
785	7178	1954
786	7186	1944
787	7188	1934
788	7191	1923
789	7193	1912
790	7196	1901
791	7198	1890
792	7209	1881
793	7213	1871
794	7217	1861
795	7221	1850
796	7225	1840
797	7229	1830
798	7237	1820
799	7240	1810
800	7242	1799
801	7245	1788
802	7247	1778
803	7249	1767
804	7259	1758
805	7263	1748
806	7267	1737
807	7274	1728
808	7279	1718
809	7284	1708
810	7287	1698
811	7292	1688
812	7296	1678
813	7300	1668
814	7309	1659
815	7313	1649
816	7316	1638
817	7320	1628
818	7324	1618
819	7326	1608
820	7329	1597
821	7331	1587
822	7349	1580
823	7358	1571
824	7360	1561
825	7363	1551
826	7366	1540
827	7368	1530
828	7370	1520
829	7380	1511
830	7383	1501
831	7388	1491
832	7397	1483
833	7401	1473
834	7405	1463
835	7414	1454
836	7417	1444
837	7419	1434
838	7421	1424
839	7424	1414
840	7426	1404
841	7434	1395
842	7438	1385
843	7441	1375
844	7446	1365
845	7449	1356
846	7452	1346
847	7454	1336
848	7457	1326
849	7459	1316
850	7469	1307
851	7472	1298
852	7476	1288
853	7484	1279
854	7488	1269
855	7493	1260
856	7497	1250
857	7500	1241
858	7503	1231
859	7505	1221
860	7508	1212
861	7510	1202
862	7522	1194
863	7526	1184
864	7530	1175
865	7537	1166
866	7540	1156
867	7542	1147
868	7545	1137
869	7547	1127
870	7549	1118
871	7560	1109
872	7563	1100
873	7568	1091
874	7573	1081
875	7577	1072
876	7581	1063
877	7589	1054
878	7591	1045
879	7594	1035
880	7596	1026
881	7599	1016
882	7601	1007
883	7610	998
884	7613	989
885	7617	980
886	7623	971
887	7627	962
888	7629	952
889	7632	943
890	7636	934
891	7638	924
892	7648	916
893	7652	907
894	7656	898
895	7666	889
896	7670	880
897	7673	871
898	7685	863
899	7687	854
900	7690	844
901	7692	835
902	7695	826
903	7703	818
904	7707	809
905	7711	800
906	7717	791
907	7723	782
908	7728	773
909	7733	764
910	7743	756
911	7747	747
912	7751	738
913	7760	730
914	7764	721
915	7768	712
916	7777	703
917	7781	695
918	7783	686
919	7786	677
920	7788	668
921	7797	659
922	7801	650
923	7804	641
924	7812	633
925	7815	624
926	7818	615
927	7820	606
928	7823	597
929	7825	589
930	7835	580
931	7839	571
932	7843	563
933	7852	554
934	7856	546
935	7860	537
936	7864	528
937	7872	520
938	7874	511
939	7877	502
940	7884	494
941	7888	485
942	7891	477
943	7901	468
944	7903	460
945	7906	451
946	7908	442
947	7910	433
948	7913	425
949	7922	416
950	7926	408
951	7929	399
952	7939	391
953	7943	383
954	7946	374
955	7956	366
956	7958	357
957	7961	349
958	7964	340
959	7966	331
960	7969	323
961	7979	315
962	7983	306
963	7986	298
964	7995	289
965	7997	281
966	8000	273
967	8002	264
968	8005	256
969	8017	247
970	8021	239
971	8024	231
972	8034	222
973	8038	214
974	8042	206
975	8053	198
976	8055	189
977	8058	181
978	8060	172
979	8063	164
980	8073	156
981	8076	148
982	8080	139
983	8088	131
984	8091	123
985	8094	114
986	8097	106
987	8099	98
988	8108	90
989	8113	81
990	8116	73
991	8125	65
992	8129	57
993	8132	49
994	8137	40
995	8146	32
996	8148	24
997	8150	16
998	8153	8
999	8155	0
